datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
1955-10-10 17:00:00,chester (uk/england),,gb,circle,20,20 seconds,Green/Orange circular disc over Chester&#44 England,1/21/2008,53.2,-2.916667
1965-10-10 21:00:00,penarth (uk/wales),,gb,circle,180,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/2006,51.434722,-3.18
1974-10-10 21:30:00,cardiff (uk/wales),,gb,disk,1200,20 minutes,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca,2/1/2007,51.5,-3.2
1976-10-10 22:00:00,stoke mandeville (uk/england),,gb,cigar,3,3 seconds,White object over Buckinghamshire UK.,12/12/2009,51.783333,-0.783333
1985-10-10 20:25:00,leeds (uk/england),,gb,triangle,600,10min,three light in the sky that led to a big black silent triangle shaped craft.,3/4/2003,53.8,-1.583333
2005-10-10 20:00:00,newtown (uk/wales),,gb,formation,360,5/6 minutes,red/orang lights dancing in the sky.,5/15/2006,52.516667,-3.3
2006-10-10 21:47:00,plymouth (devonshire) (uk/england),,gb,formation,120,1-2 mins,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an,10/30/2006,50.396389,-4.138611
2011-10-10 14:00:00,epsom (surrey) (uk/england),,gb,oval,300,5 mins,Flying beer barrel shaped metallic object,12/12/2011,51.316667,-0.266667
2000-10-11 19:30:00,london (uk/england),,gb,diamond,3,3 seconds,Diamond shaped ufo seen pulsing for short time near London England,12/2/2000,51.514125,-0.093689
2000-10-11 22:09:00,dolgellau (uk/wales),,gb,changing,240,3 or 4 minutes,How two became one.,12/20/2000,52.75,-3.8833330000000004
2005-10-11 00:00:00,cannock (uk/england),,gb,formation,180,3 minutes,Formation spotted,10/20/2005,52.683333,-2.016667
2005-10-11 21:50:00,rotherham (south yorkshire) (uk/england),,gb,oval,3600,1hr,A light it was a oval shape duration was 1hr,12/16/2005,53.433333,-1.35
2006-10-11 21:20:00,kidlington (uk/england),,gb,formation,5,5 sec,Shape of object wasn&#39t wisible. Light spots shine in triangular shape,10/30/2006,51.816667,-1.283333
2007-10-11 23:00:00,london (uk/england),,gb,unknown,300,5 minutes,Yellow lights in formation,3/4/2008,51.514125,-0.093689
1983-10-01 17:00:00,birmingham (uk/england),,gb,sphere,97836000,31 years,Firstly&#44 I was stunned and stared at the object for what seemed minutes&#44 but probably was only seconds. My first inclination was to bec,4/12/2013,52.466667,-1.916667
1995-10-01 21:00:00,taunton (near) (uk/england),,gb,light,60,1 minute,The object was made up of a formation of small lights&#44 plus one light moving independantly  around main formation,1/29/2002,51.021111,-3.104722
1998-10-01 21:00:00,warrington (uk/england),,gb,fireball,8,8 seconds,It was a clear night&#44 the fireball was huge and you could almost hear a rumbling. It shot across the sky from left to right at an incre,7/26/2002,53.383333,-2.6
2000-10-01 20:00:00,tillicoultry (central scotland) (uk/scotland),,gb,triangle,60,1 min,Hovered&#44 huge&#44 flashing&#44 silent&#44 wierd.,5/24/2005,56.15,-3.75
2004-10-01 23:00:00,dunstable (uk/england),,gb,fireball,300,5 mins,Fireball burned me  ((NUFORC Note:  May not be a serious report.  PD)),10/27/2004,51.883333,-0.516667
2005-10-01 21:35:00,buxton (uk/england),,gb,light,240,4 mins?,3 satellite looking objects moving close together,10/11/2005,52.75,1.3
2013-10-01 23:00:00,london (uk/england),,gb,fireball,30,30 seconds,Orange fireball seen hovering in London sky before vanishing.,10/3/2013,51.514125,-0.093689
1997-10-12 10:30:00,poole (uk/england),,gb,other,60,1 minute,UFO Sighted in Poole&#44 Dorset England,3/19/2009,50.716667,-2.0
2001-10-12 20:30:00,cannock (uk/england),,gb,triangle,10,5-10 seconds,a triangular object moving in a southeasterly direction,11/20/2001,52.683333,-2.016667
2002-10-12 19:45:00,rotherham (uk/england),,gb,light,120,2 minutes,Strange light in the sky,10/15/2002,53.433333,-1.35
2008-10-12 21:00:00,stafford (uk/england),,gb,light,60,1 minute,Another UFO&#44 definately watching me and sending signals.,1/10/2009,52.833333,-2.0
1999-10-13 04:28:00,east kilbride (south lanarkshire) (uk/scotland),,gb,unknown,3600,1 hour at least,It was from a high flat window&#44 several miles away high&#44 really high up in the sky. I was scepticle as the object never moved&#44 I could,11/2/1999,55.766667,-4.1666669999999995
2003-10-13 19:15:00,runcorn (uk/england),,gb,unknown,90,90 seconds,A group of lights.,1/17/2004,53.333333,-2.75
2004-10-13 07:19:00,manchester (uk/england),,gb,fireball,30,30sec,loud sonic like bang&#44 /two fire balls /comets  ((NUFORC Note:  Possible&#44 though unconfirmed&#44 daytime meteor??  PD)),10/27/2004,53.5,-2.2166669999999997
2005-10-13 19:10:00,shropshire (uk/england),,gb,light,1200,20 minutes,bright lights in England (shropshire)  near shrewsbury,10/20/2005,52.666667,-2.75
2007-10-13 22:30:00,kirkcaldy (uk/scotland),,gb,circle,600,10 mins +,semi-transparent big wheel like object. spinning in a stationery possition for about 10 miutes,11/28/2007,56.116667,-3.166667
2011-10-13 19:47:00,oldham (uk/england),,gb,oval,60,1 minute,Oval shape unlike anything I have seen before emitting bright lights,10/19/2011,53.55,-2.1166669999999996
2012-10-13 20:30:00,glasgow (uk/scotland),,gb,circle,300,5 minutes,Strange Orange Orb over Glasgow&#44 Scotland&#44 UK,10/30/2012,55.833333,-4.25
2012-10-13 22:30:00,seaford (uk/england),,gb,light,600,10 minutes,Unusual set of 3 lights captured on camera,10/30/2012,50.766667,0.1
2012-10-13 22:30:00,tonbridge (uk/england),,gb,fireball,2,2 seconds,Laying on sofa &#44noticed green ball very quickly descend into tree line.,10/30/2012,51.183333,0.283333
2005-10-14 03:36:00,llanelli (uk/england),,gb,triangle,30,30seconds,triangle object flew over my house early morning blocking out all stars,10/20/2005,51.676111,-4.156667
2010-10-14 22:30:00,northwich (uk/england),,gb,other,180,2-3 min&#39s,orange flare like sightings over Cheshire,11/21/2010,53.266667,-2.5
1967-10-15 16:00:00,castleside (uk/england),,gb,cigar,300,5 minutes,I saw a huge cigar shaped object&#44 pulsating red then orange&#44 like a heartbeat&#44 my horse saw it first.,3/11/2006,54.833333,-1.8666669999999999
1970-10-15 19:00:00,london (uk/england),,gb,unknown,1800,30 minutes,Single bright cone shaped beam of light.,8/24/2010,51.514125,-0.093689
1988-10-15 19:30:00,london (uk/england),,gb,circle,240,4 minutes,Too big to be a balloon - i haven&#39t been able to completely forget it.  Would really like an explanation.,8/5/2001,51.514125,-0.093689
1999-10-15 02:00:00,inverness (uk/scotland),,gb,formation,180,3 minutes,Four bright white lights moving in a row,12/12/2009,57.466667,-4.233333
1999-10-16 00:00:00,sheffield (uk/england),,gb,triangle,120,only a few minutes,THE UFO,4/1/2001,53.366667,-1.5
2000-10-15 18:30:00,london (uk/england),,gb,light,60,1 minute,A large very bright light&#33,12/2/2000,51.514125,-0.093689
2008-10-16 00:00:00,hull (uk/england),,gb,disk,420,7 mins,2 orangey red discs similar to other reports from the time.,3/19/2009,53.716667,-0.333333
2002-10-16 15:00:00,glasgow (uk/scotland),,gb,other,300,5 minutes,I am a Buyer with Scottish Water working in Glasgow and after a meeting with a supplier on Wednesday 16th October I happened to glance,10/28/2002,55.833333,-4.25
2004-10-16 00:10:00,northampton (uk/england),,gb,light,1800,30 mins(approx),Disco Lights over Northampton&#44 UK.,4/27/2007,52.25,-0.883333
2007-10-16 19:55:00,leeds (uk/england),,gb,fireball,300,5 minutes,Golden light ball / craft in the sky,11/28/2007,53.8,-1.583333
2009-10-16 19:30:00,selby (uk/england),,gb,changing,240,4 minutes,A orange splatter shaped light hovering in one place for about 4 minutes&#44 slightly moving around but staying in round about the same sp,12/12/2009,53.783333,-1.066667
2007-10-17 20:15:00,leeds (west yorkshire) (uk/england),,gb,triangle,15,about 15 seconds,((HOAX??))  i look up at the stars when i saw object moving looked like a star.but beined it was triangle shape object.,3/4/2008,53.8,-1.583333
2008-10-17 22:00:00,bracknell (uk/england),,gb,circle,5,5 seconds,blue/white light moving away quickly,1/10/2009,51.416667,-0.75
2009-10-17 00:00:00,plymouth (uk/england),,gb,light,6,00:06,7 bright orange lights flying over&#44 some in formation and changing speeds then disapearing,12/12/2009,50.396389,-4.138611
2013-10-17 18:50:00,wymondham (norfolk)(uk/england),,gb,other,60,1 minute,Stingray shaped with green/blue light each side of the craft being guided to base by 4/5 F15&#39s ?,10/23/2013,52.566667,1.116667
2002-10-18 20:35:00,manchester (uk/england),,gb,triangle,5,5 seconds,Saw a triangular object at night with 3 red lights on the corners&#44 flashing in a regular pattern. The lights appeared to be right up to,10/28/2002,53.5,-2.2166669999999997
2007-10-18 21:10:00,gillingham (uk/england),,gb,light,180,3 mins,Large and Bright light with Steady Course Vanished,11/28/2007,51.4,0.566667
2007-10-18 23:45:00,manchester (uk/england),,gb,sphere,60,1min,three silent white balls in a triangle formation floating through the sky.,11/28/2007,53.5,-2.2166669999999997
2010-10-18 15:00:00,ackworth (uk/england),,gb,rectangle,120,2 minutes,silver shiny cube&#44 stationary in sky&#44 suns light reflecting off it. (near garden center above tree line Ackworth&#44 England Winter 2010),10/10/2011,53.65,-1.333333
2012-10-18 05:50:00,cardiff (south wales) (uk/wales),,gb,light,3600,1.00 hour,Bright light that hovers for a whike then disappears,10/30/2012,51.5,-3.2
2003-10-19 19:00:00,fareham (uk/england),,gb,other,1,second,Turquoise smoky light crossing the sky&#44 duration:second,10/31/2003,50.85,-1.183333
2005-10-19 01:30:00,colwyn bay (uk/wales&#44 north country),,gb,other,18000,5 hrs,Aeroplane which turned into cigar light shape&#44 then a circle of red/green light in North Wales UK,11/3/2005,53.3,-3.75
2006-10-19 11:50:00,london (uk/england),,gb,light,180,3 minutes,19/10/06 - Wood Green&#44 London&#44 United Kingdom - Brilliant White pulsating object in the clouds,10/30/2006,51.514125,-0.093689
2007-10-19 17:30:00,leamington spa (uk/england),,gb,diamond,1200,20 minutes,2 unexplained objects stationary in the sky for 20 minutes&#44 took a photograph.,11/28/2007,52.3,-1.533333
2012-10-19 06:20:00,blandford forum (uk/england),,gb,unknown,300,5 minutes,White dot moving in triangular pattern.,10/30/2012,50.866667,-2.166667
1968-10-20 19:30:00,fleetwood (uk/england),,gb,formation,1200,20 minutes,MOVING LIGHTS IN THE NIGHT SKY NORTHERN ENGLAND UK.,2/8/2005,53.916667,-3.0
1997-10-20 22:00:00,grimsby (uk/england),,gb,egg,120,2 minutes,Bright green egg shaped object hovering for some time then shot off in a nothern direction very fast,8/16/2002,53.533333,-0.05
2000-10-20 20:20:00,scunthorpe (uk/england),,gb,triangle,10,10 seconds,A silent triangular object around 60 feet corner to corner,12/2/2000,53.583333,-0.65
2000-10-20 23:00:00,newport (uk/england),,gb,diamond,3,3 seconds,Diamond&#44 Transparent&#44 destorting background stars.,12/9/2000,52.016667,-4.8333330000000005
2004-10-20 06:30:00,castleford (uk/england),,gb,light,15,15 seconds,pulsing lights,10/27/2004,53.716667,-1.35
2005-10-20 20:51:00,essex (uk/england),,gb,other,120,few mins,30 orange star like objects hovering above the M25,11/3/2005,51.833333,0.583333
1987-10-21 21:30:00,swansea (uk/england),,gb,triangle,1800,30 minutes,Triangular lights seen over Swansea and Port Talbot,5/15/2006,51.633333,-3.9666669999999997
1987-10-21 21:30:00,swansea (uk/england),,gb,triangle,600,10 minutes,many witness slow moving huge triangular craft,12/16/2005,51.633333,-3.9666669999999997
2005-10-21 13:00:00,bristol (uk/england),,gb,light,900,15 min,it was changing colour &#44 zig zag pattern&#44 rapid upward travel.,11/3/2005,51.45,-2.583333
2007-10-21 03:20:00,hereford (uk/england),,gb,disk,900,15 minutes,moving lights spotted above hereford in england,11/28/2007,52.05,-2.7166669999999997
2012-10-21 03:20:00,durham county (uk/england),,gb,light,600,10 minutes,2 lights above Co. Durham U.K.,10/30/2012,54.766667,-1.566667
2004-10-02 21:20:00,bridlington (uk/england),,gb,oval,900,15mins,This is real,10/27/2004,54.095,-0.208056
2000-10-22 20:50:00,bridlington (uk/england),,gb,triangle,30,30seconds,red light comming from south[hull]]clear night flow over bridlington south beech to flambough head as it passed over they was on sound,12/2/2000,54.095,-0.208056
2003-10-22 21:00:00,cheltenham (uk/england),,gb,fireball,1800,30mins,Fireballs on garden,10/31/2003,51.9,-2.083333
2007-10-23 00:00:00,dundee (uk/scotland),,gb,teardrop,8,8 seconds,CRAFT WITH EMITTING FLAMES,11/28/2007,56.5,-2.9666669999999997
2008-10-22 19:25:00,kirkby in ashfield (uk/england),,gb,fireball,300,5 mins,orange ball seen over kirkby in ashfield nottinghamshire england,10/31/2008,53.083333,-1.266667
2007-10-23 20:30:00,burnley  (lancashire) (uk/england),,gb,fireball,180,3 mins,firey orange object  no sound,11/28/2007,53.8,-2.233333
2002-10-24 11:00:00,rotherham (uk/england),,gb,circle,2400,40 minutes,Round whitish reflective ufo followed by military helicopter not long after sighting,11/20/2002,53.433333,-1.35
2002-10-24 21:00:00,cheltenham (uk/england),,gb,light,600,10 minutes,GREEN LIGHT BALLS CHASING  EACH OTHER,10/28/2002,51.9,-2.083333
2003-10-24 22:16:00,lancaster (uk/england),,gb,sphere,120,2 minutes,Bright metallic Spherical object chased by military aircraft.,11/26/2003,54.066667,-2.833333
2005-10-24 22:00:00,manchester (uk/england),,gb,formation,900,15 minutes,triangle shap pattern over my town of swinton manchester england.,11/3/2005,53.5,-2.2166669999999997
2006-10-24 21:55:00,hull (uk/england),,gb,triangle,30,30 seconds,3 red lights flying fast in loose triangular formation&#44 Hull&#44 East Yorkshire&#44 UK.,10/30/2006,53.716667,-0.333333
2007-10-24 17:40:00,stevenage (uk/england),,gb,disk,120,2 minutes,Yellow disk over Stevenage.  ((NUFORC Note:  Student report.  PD)),11/28/2007,51.916667,-0.216667
2007-10-24 18:03:00,aldershot (uk/england),,gb,fireball,60,1 min,pink/reddish Fireball or light floating motionless over nearby fields,11/28/2007,51.25,-0.766667
2008-10-25 00:00:00,salford (manchester) (uk/england),,gb,circle,60,1 min,Something weird in the sky.  ((NUFORC Note:  Water droplet on lens of camera.  PD)),10/31/2008,52.033333,-0.633333
2001-10-25 23:00:00,hamilton (uk/scotland),,gb,cigar,120,2 mins.,hovering lights&#44silent&#44 making cloud,9/2/2005,55.766667,-4.033333
2011-10-25 00:30:00,bridgend (uk/england),,gb,sphere,3600,ongoing more than an hour,several dancing light balls&#44 floating around in concentric circles&#44 sighted at 2 different places,10/25/2011,51.505833,-3.577222
1999-10-26 21:15:00,newport (uk/england),,gb,oval,1295,21:35,oval&#44 lit up brigthly with flashing lights at the bottom.,11/2/1999,52.016667,-4.8333330000000005
2003-10-26 10:00:00,birmingham (uk/england),,gb,sphere,10,10 seconds,playing golf&#44 frosty morning no wind at ground level&#44completely blue sky&#44no cloud at all. looked up to see if buzzards about and the ob,10/31/2003,52.466667,-1.916667
2003-10-26 21:30:00,bristol (uk/england),,gb,other,3,3 seconds,Okay&#44 this is a new one on me&#44 maybe someone else has seen these too. Towards the end of October 2003&#44 around 9:30 pm with a clear sky&#44,12/19/2003,51.45,-2.583333
2006-10-26 06:30:00,stoke-on-trent (uk/england),,gb,sphere,1500,25minutes,((HOAX??))  3 orbs 1 orange 2 white,10/30/2006,53.0,-2.183333
2006-10-26 19:45:00,northampton (uk/england),,gb,fireball,40,40 seconds,bright white object travelling accross the sky and in a flash it was gone,10/30/2006,52.25,-0.883333
1997-10-27 19:30:00,stoke-on-trent (uk/england),,gb,cylinder,30,30 seconds,TRANSLUCENT (V) FORMATION  OBJECTS AT CLOSE QUARTERS 1997,1/27/2005,53.0,-2.183333
2002-10-27 17:00:00,dundee (uk/scotland),,gb,cigar,180,3 min,Whilst at work I looked out of the main door &amp; saw what looked a cloud in the shape of a cigar which was white in colour. The object wa,10/28/2002,56.5,-2.9666669999999997
2000-10-28 20:05:00,brandon (county durham)(uk/england),,gb,teardrop,1080,18 mins,Slow moving horizontal tear shaped craft over Brandon&#44 County Durham&#44 no deviation or erratic movement,12/9/2003,52.366667,-1.4
2007-10-28 12:10:00,glasgow (uk/scotland),,gb,other,10,10 seconds,Egg rimer shaped object flew incredibly fast in cleasr sky making no sound.,11/28/2007,55.833333,-4.25
2010-10-28 19:25:00,bedford (uk/england),,gb,diamond,150,2.5 minutes +,28th October 2010  Bedford England  moving slowly over the town for 2.5 minutes + posted 29/10/10,11/21/2010,52.133333,-0.45
2011-10-29 18:30:00,herefordshire (uk/england),,gb,sphere,10,10 secs,Green sphere viewed between the downs and Bromyard&#44 Herefordshire.,12/12/2011,52.083333,-2.75
2008-10-30 19:40:00,aberdeen (uk/scotland),,gb,circle,300,5mins,3 stationary orange lights above city of Aberdeen,1/10/2009,57.166667,-2.666667
2009-10-30 20:59:00,heswall (uk/england),,gb,circle,60,1 min,Strange single light that moved slowly but erratically,12/12/2009,53.316667,-3.1
2011-10-30 18:47:00,london (uk/england),,gb,circle,180,3mins,Huge white circular object with flashing light on base and possible red lights either side,12/12/2011,51.514125,-0.093689
2011-10-30 20:00:00,warrington (uk/england),,gb,other,60,1 minute,((HOAX?  Date is flawed.))  Solid orange V shape flying past and over no lights just a solid radiating orange V,4/18/2012,53.383333,-2.6
2013-10-30 01:14:00,london (uk/england),,gb,other,0.0,5-on going,I saw a UFO fly through the sky with lots of lights on it performing abnormal move for a plane.,11/11/2013,51.514125,-0.093689
2004-10-31 00:04:00,manchester (uk/england),,gb,triangle,180,3 mins,unknown flying object saw by myself and 2 friends it fell from the sky with lights flickering green triangle shaped,11/2/2004,53.5,-2.2166669999999997
2006-10-31 21:59:00,manchester (uk/england),,gb,diamond,600,10-mins,u.f.o grounds planes over manchester.,3/8/2007,53.5,-2.2166669999999997
2007-10-31 21:30:00,colchester (uk/england),,gb,light,600,10 mins,we were on our way out for the night and walking up brook st colchester essex engalnd  there was a strange light we thoughy it was a fa,1/21/2008,51.883333,0.9
2008-10-31 09:25:00,london (uk/england),,gb,unknown,30,30 seconds,The object was slowly moving across the Heathrow fight path over Richmond in Surrey.  It was a dark object but it was also changing sha,1/10/2009,51.514125,-0.093689
